row,column,value_female,value_male
A,1,0,0
A,2,5,5
A,3,5,5
A,4,5,5
A,5,5,5
A,6,5,5
A,7,5,5
A,8,5,5
A,9,0,0
B,1,5,5
B,2,5,5
B,3,10,20
B,4,5,15
B,5,5,15
B,6,5,15
B,7,10,20
B,8,5,5
B,9,5,5
C,1,5,5
C,2,10,10
C,3,25,35
C,4,10,20
C,5,2,12
C,6,10,20
C,7,25,35
C,8,10,10
C,9,5,5
D,1,5,5
D,2,15,25
D,3,25,35
D,4,15,25
D,5,5,15
D,6,15,25
D,7,25,35
D,8,15,25
D,9,5,5
E,1,5,5
E,2,15,15
E,3,25,35
E,4,20,30
E,5,10,20
E,6,20,30
E,7,25,35
E,8,15,15
E,9,5,5
F,1,2,2
F,2,10,10
F,3,25,35
F,4,25,35
F,5,10,20
F,6,25,35
F,7,25,35
F,8,10,10
F,9,2,2
G,1,0,0
G,2,5,5
G,3,15,25
G,4,20,30
G,5,8,18
G,6,20,30
G,7,15,25
G,8,5,5
G,9,0,0
H,1,0,0
H,2,0,0
H,3,5,5
H,4,10,20
H,5,6,16
H,6,10,20
H,7,5,5
H,8,0,0
H,9,0,0
I,1,0,0
I,2,0,0
I,3,5,5
I,4,4,12
I,5,2,10
I,6,4,12
I,7,5,5
I,8,0,0
I,9,0,0
J,1,0,0
J,2,0,0
J,3,0,0
J,4,2,2
J,5,2,2
J,6,2,2
J,7,0,0
J,8,0,0
J,9,0,0
K,1,0,0
K,2,0,0
K,3,0,0
K,4,2,2
K,5,2,2
K,6,2,2
K,7,0,0
K,8,0,0
K,9,0,0
L,1,0,0
L,2,0,0
L,3,0,0
L,4,2,2
L,5,2,2
L,6,2,2
L,7,0,0
L,8,0,0
L,9,0,0
M,1,0,0
M,2,0,0
M,3,0,0
M,4,2,2
M,5,2,2
M,6,2,2
M,7,0,0
M,8,0,0
M,9,0,0
N,1,0,0
N,2,0,0
N,3,0,0
N,4,2,2
N,5,2,2
N,6,2,2
N,7,0,0
N,8,0,0
N,9,0,0
O,1,0,0
O,2,0,0
O,3,0,0
O,4,2,2
O,5,2,2
O,6,2,2
O,7,0,0
O,8,0,0
O,9,0,0
